course_catalogue
code;title;coordinator;corequisite;prerequisite;corequisiteof;prerequisitecode
NEU2004;Neural Circuits and Dynamics;Luke Edwards;FALSE;FALSE;;
NEU2005;Systems Neuroscience;Daan van Beek;FALSE;FALSE;;
NEU3002;Brain-Inspired Engineering: From Neural Principles to Technology;Prof. Dr. Renaud B. Jolivet;FALSE;TRUE;;NEU1003/INT1003
NEU3003;Brain-Body Interactions;Michelle Moerel;FALSE;TRUE;;NEU1001
PHY1101;Introduction to Physics;Dr. Lorenzo Reverberi;FALSE;FALSE;;
PHY1003;Mechanics;Dr. Lorenzo Reverberi;FALSE;TRUE;;PHY1101
PHY2002;Thermodynamics and Statistical Mechanics;Dr. Veaceslav (Slava) Vieru;FALSE;TRUE;;MAT2006/MAT2009
PHY2003;Vibrations and Waves;Dr. Jessica Steinlechner;FALSE;TRUE;;PHY2001/PHY1003
PHY2004;Electricity and magnetism;Dr. Stefan Danilishin;FALSE;TRUE;;MAT2009
PHY2005;Fundamentals of Quantum Mechanics;Dr. Keri Vos;FALSE;TRUE;;MAT2004+(MAT2006/MAT2008)
PHY2006;Electronics;Dr. Bart van Grinsven;TRUE;FALSE;PRA2006;
PHY2007;Optics;Dr. Sebastian Steinlechner;FALSE;FALSE;;
PHY2008;Solar System Astronomy;Mr. Chad Ellington;FALSE;FALSE;;
PHY2009;Stellar Astronomy;Mr. Chad Ellington;FALSE;FALSE;;
PHY2010;Galactic Astronomy;Mr. Chad Ellington;FALSE;FALSE;;
PHY2011;Special Relativity;Jacco de Vries;FALSE;TRUE;;PHY2001/PHY1003
PHY2012;Structure of Matter;Dr. Alex Amato;FALSE;TRUE;;PHY2002
PHY3001;Quantum Mechanics;Dr. Keri Vos;FALSE;TRUE;;PHY2005
PHY3004;Elementary Particle Physics;Prof. Marcel Merk and Dr. Jacco de Vries;FALSE;TRUE;;PHY2005+MAT2004
PHY3005;Electrodynamics;Dr. Stefan Danilishin;FALSE;TRUE;;PHY2004
PHY3006;General Relativity;Dr. Gideon Koekoek;FALSE;TRUE;;PHY3002/PHY2011
PHY3008;Cosmology;Dr. Lorenzo Reverberi;FALSE;TRUE;;MAT2009+PHY2011
PHY3009;Hamiltonian & Lagrangian Mechanics;Dr. Gideon Koekoek;FALSE;TRUE;;PHY2001/PHY1003
PHY3010;Lasers and Applications;Dr. Anna Green;FALSE;TRUE;;PHY2005
PRA1101;Introduction to Scientific Research I;Dr. Chris Pawley and Dr. Erik Steen Redeker;TRUE;FALSE;CHE1101+PHY1101;
PRA1102;Introduction to Scientific Research II;Suzan du Pree;TRUE;FALSE;BIO1101+INT1101;
PRA1003;Basic Physics Laboratory;Suzan du Pree and Dr. Chris Pawley;FALSE;FALSE;;
PRA1005;Data Collection Techniques in Neuroscience;Dr. Mark Roberts;FALSE;FALSE;;
PRA1008;Basics of Palaeontology;Dr. Jesse Hennekam;FALSE;FALSE;;
PRA1009;Neuro Anatomy Skills;Daan van Beek;TRUE;FALSE;NEU1001;
PRA2003;Programming;Panos Christakoglou;TRUE;FALSE;MAT2007;
PRA2005;Advanced Molecular Laboratory Skills;Dr. Erik Steen Redeker;FALSE;TRUE;;PRA1101
PRA2006;Electronics Lab;Dr. Bart van Grinsven;TRUE;FALSE;PHY2006;
PRA2007;Physics Laboratory;Dr. Chris Pawley and Dr. Maarten van Veghel;FALSE;TRUE;;PRA1003
PRA2008;Physical Chemistry;Dr. Veaceslav (Slava) Vieru;FALSE;TRUE;;PRA2034
PRA2009;Field Skills in Biology;Dr. Phil Klahs;FALSE;FALSE;;
PRA2010;Synthetic Biology;Dr. Erik Steen Redeker;FALSE;TRUE;;PRA2005+PRA2014
PRA2011;Exploring the World of Plants;Dr. Phil Klahs;TRUE;FALSE;BIO2003;
PRA2013;Practical Zoology;Dr. John Sloggett;FALSE;TRUE;;PRA1102+BIO2004
PRA2014;Genetics;Dr. David Cortens and Servé Olieslagers;TRUE;TRUE;BIO2007;BIO2001
PRA2015;Advanced Academic Skills;Dr. Kyle Jazwa;FALSE;FALSE;;
PRA2018;Capita Selecta in Modern Sciences;Panos Christakoglou;FALSE;FALSE;;
PRA2019;Natural Science Ilustration;Dr. Phil Klahs;FALSE;FALSE;;
PRA2020;Practical Mass Spectrometry;Dr. A. Mathew;FALSE;TRUE;;INT2010
PRA2023;Astronomical Observing Techniques;Mr. Chad Ellington;FALSE;FALSE;;
PRA2025;Vertebrate Functional Morphology;Prof. Dr. Leon Claessens and Dr. Jesse Hennekam;TRUE;FALSE;BIO2008;
PRA2026;R programming language;Dr. Phil Klahs;FALSE;FALSE;;
PRA2027;Fundamentals of Science Communication;Dr. May Lee;FALSE;TRUE;;PRO1002
